name,number,id,path,description,aliases,courseQuality,professorQuality,difficulty,amountLearned,workRequired,RecommendToMajor,RecommendToNonMajor,numberReviewers
BEGINNING TAIWANESE II,null,38282,/courses/38282,Beginning Taiwanese II is a continuation of CHIN 051. This course will cover language training as well as cultural topics including history and political aspects of Taiwan. Conversation topics range from daily conversation to professional and formal situations.,[CHIN-052],4.0,4.0,-1.0,-1.0,0.0,-1.0,-1.0,5
THE PLAY,null,44996,/courses/44996,How does one read a play? Theatre as a discipline focuses on the traditions of live performance. In those traditions a play text must be read not only as a piece of literature but as a kind of blueprint from which productions are built. This course will introduce students to a variety of approaches to reading plays and performance pieces. Drawing on a wide range of dramatic texts from different periods and places we will examine how plays are made considering issues such as structure genre style character and language as well as the use of time space and theatrical effects. Although the course is devoted to the reading and analysis of plays we will also view selected live and/or filmed versions of several of the scripts we study assessing their translation from page to stage.,[THAR-125 -- ENGL-056],3.11,3.67,1.89,-1.0,2.22,-1.0,-1.0,10
FINANCIAL ACCOUNTING,null,36667,/courses/36667,The objective of this course is to provide an understanding of financial accounting fundamentals for prospective consumers of corporate financial information such as managers stockholders financial analysts and creditors. The course focuses on understanding how economic events like corporate investments financing transactions and operating activities are recorded in the three main financial statements (i.e. the income statement balance sheet and statement of cash flows). Along the way students will develop the technical skills needed to analyze corporate financial statements and disclosures for use in financial analysis and to interpret how accounting standards and managerial incentives affect the financial reporting process. This course is recommended for students who want a more in-depth overview of the financial accounting required for understanding firm performance and potential future risks through analysis of reported financial information such as students intending to go into security analysis and investment banking.,[ACCT-611],2.6,2.55,2.66,2.68,2.08,2.45,2.86,47
KANT II: From Enlightenment towards perpetual peace:  Kant's political philosophy,null,43338,/courses/43338,This course is a study of Kant's moral and political philosophy. Texts may include Kant's Lectures on Ethics Groundwork for the Metaphysics of Morals Critique of Practical Reason Religion within the Boundaries of Mere Reason and Metaphysics of Morals.,[PHIL-466 -- GRMN-552],3.88,3.88,3.0,-1.0,2.5,-1.0,-1.0,8
Human Rights: Perspectives on Forced Migration & Education,null,44834,/courses/44834,Comparative analysis of politics and development in Central America and Mexico.,[PSCI-454],3.5,3.82,1.89,-1.0,2.11,-1.0,-1.0,13
HUMAN BRAIN IMAGING: Functional Imaging of the Human Brain,null,43798,/courses/43798,The course will provide a detailed overview of functional brain imaging and its potential uses. Issues regarding advantages and disadvantages of different modalities study design image analysis & interpretation and how these relate to various neurological & psycholigical phenomena will be discussed. Class will cover the following specific topics in this general time frame: Introduction to functional brain function basics of nuclear medicine imaging (including instrumentation image acquisition and radiopharmaceuticals for positron emission tomography and single photon emission computed tomography) imaging of neurological disorders imaging of psychological disorders introduction to activation studies image analysis and statistical problems study design literature review journal article presentation tour of Penn imaging facilities interpretation of imaging studies implications for clinical and research and implications for understanding the human mind and consciousness.,[BIBB-421],3.32,3.69,1.74,-1.0,1.77,-1.0,-1.0,32
THE TRANSLATION OF POETRY/THE POETRY OF TRANSLATION,null,41294,/courses/41294,In this class we will study and translate some of the major figures in 20th century poetry including Rainer Maria Rilke Claire Malroux Pablo Neruda Cesare Pavese Anna Akhmatova and Bei Dao. While the curriculum will be tailored to the interests and linguistic backgrounds of the students who enroll all those curious about world poetry and the formidable irresistible act of translation are welcome. Students should have at least an intermediate knowledge of a language other than English. We will study mulitple translations of seminal poems render our own versions in response and have the additional opportunity to work directly from the original. Students may also work in pairs or groups. A portion of the course will be set up as a creative writing workshop in which to examine the overall effect of each others' translations so that first drafts can become sucessful revisions. While class discussions will explore the contexts and particularity of (among others) Urdu Italian French and Polish poetry they might ultimately reveal how notions of national literature have radically shifted in recent years to more polyglottic and globally textured forms. Through guest speakers essays on translation theory and our own ongoing experiments this course will celebrate the ways in which great poetry underscores the fact that language,[ENGL-120 -- COML-121],3.73,3.82,2.78,-1.0,3.0,-1.0,-1.0,11
LAW OF MKTG & ANTITRUST,null,40207,/courses/40207,The course explores the legal aspects of competition. The aim is to understand what legal obligations a business organization owes to its competitors and consumers. In particular the course focuses on permissible and impermissible marketing tactics pricing strategies use of intellectual property (including patents copyrights and trademarks) and exertion of market dominance. The focus is primarily on U.S. law but the challenges posed by diverse domestic foreign and international regimes will also be discussed. The course is useful to students interested in marketing strategy or competitive business strategy and more broadly to anyone desiring to understand the legal and public policy issues relating to competitive business interaction.,[LGST-205 -- LGST-805 -- MKTG-760 -- MKTG-260],3.5,3.8,2.46,3.75,2.62,3.25,3.77,16
NARRATIVE ACROSS CULTURES,null,39770,/courses/39770,The purpose of this course is to present a variety of narrative genres and to discuss and illustrate the modes whereby they can be analyzed. We will be looking at shorter types of narrative: short stories novellas and fables and also some extracts from longer works such as autobiographies. While some works will come from the Anglo-American tradition a larger number will be selected from European and non-Western cultural traditions and from earlier time-periods. The course will thus offer ample opportunity for the exploration of the translation of cultural values in a comparative perspective.,[COML-125 -- NELC-180 -- ENGL-103 -- SAST-124 -- FOLK-125],2.96,3.08,2.26,-1.0,2.87,-1.0,-1.0,26
ENVIRONMENTAL STUDIES RESEARCH SEMINAR FOR JUNIORS,null,42731,/courses/42731,This seminar is designed to help Juniors prepare for the Senior Thesis research. Topic selection advisor identification funding options and basic research methods will be discussed.,[ENVS-399 -- GEOL-399],1.46,2.08,0.91,-1.0,1.64,-1.0,-1.0,24
MECH ENG DESIGN PROJECTS,null,38907,/courses/38907,This is the second course in the two course sequence involving the capstone design project. See MEAM 445 for course description.,[MEAM-446],2.46,3.06,3.02,2.91,3.61,0.82,3.42,66
ADVANCED CORP FINANCE,null,38612,/courses/38612,The objective of this course is to study the major decision-making areas of managerial finance and some selected topics in financial theory. The course reviews the theory and empirical evidence related to the investment and financing policies of the firm and attempts to develop decision-making ability in these areas. This course serves as an extension of FNCE 611. Some areas of financial management not covered in FNCE 611 are covered in FNCE 726. These may include leasing mergers and acquisitions corporate reorganizations financial planning and working capital management and some other selected topics. Other areas that are covered in FNCE 611 are covered more in depth and more rigorously in FNCE 726. These include investment decision making under uncertainty cost of capital capital structure pricing of selected financial instruments and corporate liabilities and dividend policy.,[FNCE-726],3.3,3.49,2.95,3.27,3.03,2.58,3.32,55
COMPARISON COSMOPOLITANISM AND THE GLOBAL NOVEL,null,38453,/courses/38453,Literature does not exist for your protection. So dangerous is it that Socrates argued poets ought to be banned from his ideal Republic. And Socrates himself--one of the most subversive of all poetic thinkers--was condemned to death for corrupting the young with his speeches. All great literature is unsettling and alarming. Along with its beauty and delicacy and rhetorical power and ethical force it can be terrifyingly sublime and even downright ugly: full of contempt and horror and grandiosity and malice. From Socrates' day to our own countless writers have been jailed exiled and murdered their works censored banned burned for daring to say what others wish would remain unsaid--about religion and the State; sexuality gender and the body; art science and commerce; freedom and order; love and hate--and for saying it in ways that are aesthetically innovative surprising seductive ravishingly unanticipated.,[ENGL-100 -- COML-100],3.43,3.71,2.23,-1.0,2.62,-1.0,-1.0,14
INTRO TO ANC NEAR EAST,null,41812,/courses/41812,The great pyramids and mysterious mummies of Egypt the fabled Tower of Babel and the laws of the Babylonian king Hammurabi are some of the things that might come to mind when you think of the ancient Near East. Yet these are only a very few of the many fascinating -- and at time perplexing -- aspects of the civilizations that flourished there c. 3300-300 BCE. This is where writing first developed where people thought that the gods wrote down what would happen in the future on the lungs and livers of sacrificed sheep and where people knew how to determine the length of hypotenuse a thousand years before the Greek Pythagoras was born. During this course we will learn more about these other matters and discover their place in the cultures and civilizations of that area.,[NELC-101 -- HIST-024 -- ANCH-025],2.44,2.76,2.18,-1.0,1.96,-1.0,-1.0,34
LECTURE: Introduction to Management,null,44497,/courses/44497,We all spend much of our lives in organizations. Most of us are born in organizations educated in organizations and work in organizations. Organizations emerge because individuals can't (or don't want to) accomplish their goals alone. Management is the art and science of helping individuals achieve their goals together. Managers in an organization determine where their organization is going and how it gets there. More formally managers formulate strategies and implement those strategies. This course provides a framework for understanding the opportunities and challenges involved in formulating and implementing strategies by taking a system view of organizationswhich means that we examine multiple aspects of how managers address their environments strategy structure culture tasks people and outputs and how managerial decisions made in these various domains interrelate. The course will help you to understand and analyze how managers can formulate and implement strategies effectively. It will be particularly valuable if you are interested in management consulting investment analysis or entrepreneurship - but it will help you to better understand and be a more effective contributor to any organizations you join whether they are large established firms or startups.,[MGMT-101],2.73,3.27,1.96,2.71,1.77,2.23,2.87,114
THE HIDDEN WORLD OF PRIVACY POLICIES,null,41200,/courses/41200,The US Federal Trade Commission considers privacy policies essential for internet sites and apps. Lawyers for firms with internet sites and/or apps spend much time writing privacy policies. Yet surveys show that most Americans don't read the policies-and in fact cannot understand them because of their legal jargon. Moreover surveys indicate most Americans don't even correctly understand what the label privacy policy means. The aim of this course will be to examine this crucial but misunderstood aspect of modern life. You will learn how to read privacy policies how to understand their strategic business purposes within the internet industry and how to think about the implications for society when the key rules of surveillance and privacy are hidden from all but a relative few. You will also work with others in the class to create and carry out a survey of college students' understanding of privacy policies. There will be one exam and a paper related to the survey.,[COMM-330],3.0,3.43,2.67,3.67,2.5,3.0,3.5,7
SOCIOCULT INFL ON HEALTH: SOCIOCULTURAL INFLUENCES ON HEALTH,null,44636,/courses/44636,This course is intended for students interested in U.S/Global Healthcare. It includes lectures discussions readings and written assignments focused on various social cultural and economic factors that impact the health and illness perceptions and behaviors of various ethnic and minority groups. In particular it focuses on how culture affects health and disease and how health and disease affect culture.,[NURS-315 -- NURS-515],3.07,3.43,2.15,3.19,2.46,2.69,2.96,28
HEALTH CARE SYSTEMS,null,44282,/courses/44282,This introductory course takes a policy and politics angle to health care's three persistent issues - access cost and quality. The roles of patients physicians hospitals insurers and pharmaceutical companies will be established. The interaction between the government and these different groups will also be covered. Current national health care policy initiatives and the interests of class members will steer the specific topics covered in the course. The course aims to provide skills for critical and analytical thought about the U.S. health care system and the people in it.,[HCMG-101],2.42,2.38,2.13,2.75,2.09,2.16,2.76,86
MALAGASY -AFR LG ELEM I,null,39494,/courses/39494,The main objective of this course is to allow students to study an African language of their choice depending on the availability of the instructor. The course will provide students with linquistics tools which will facilitate their research work in the target country. Cultural aspects of the speakers of the language will be introduced and reinforced.,[AFST-490 -- AFST-594],3.67,3.73,-1.0,-1.0,1.31,-1.0,-1.0,15
INTERMEDIATE ARABIC IV,null,38121,/courses/38121,This course is a continuation of ARAB 033/633.,[ARAB-034 -- ARAB-634],3.25,3.5,-1.0,-1.0,2.0,-1.0,-1.0,4
PRINTMAKING PUBLICATIONS: INTRO TO INDEPENDENT PUBLISHING AND ARTISTS' PUBLICATIONS,null,35748,/courses/35748,This course introduces students to independent publishing and artists' publications through print methods in letterpress Risograph and Xerox. The class will focus on the self-published artists' zine/book as an affordable accessible and easily reproducible format for exploring ideas disseminating artists' work and collaborating across disciplines. Students will learn a range of skills including techniques in both mechanized and hand-pulled forms of printed media (Risograph copy machine Vandercook letterpress); short- run editions and binding; design and layout; pre-press and print production; and the web as it relates to and supports independent and democratic modes of distribution. Students will learn about and become acquainted with some of the most significant independent publishers working today and throughout history. Students will leave class having completed three individual projects: a 16-page booklet/zine; a carefully considered online publication and a final collaborative book designed developed and published as a class. The course commences with a field trip to New York City's Printed Matter one of the oldest and most important nonprofit facilities dedicated to the promotion of artists' books where students will be encouraged to submit a publication by semester's end.,[FNAR-254 -- FNAR-654],3.25,3.63,2.5,3.25,2.75,2.88,3.5,8
CNS CLINICAL II: CLINICAL NURSE SPECIALIST: CLINICAL II (280 CLINICAL HOURS),null,45254,/courses/45254,This clinical course focuses on the application of CNS theory to practice. Students focus on furthering the development of the knowledge and skills related to the core competencies of the CNS. Strategies to improve provider and system issues related to the provision of care to the population of interest are developed implemented and evaluated. Developing leadership in the development of system-wide or healthcare policy is promoted. Advocating for the individual family caregiver and population of interest needs within the context of clinical practice and policy making is encouraged.,[NURS-770],3.2,3.8,2.8,3.6,3.4,2.4,3.8,5
JAPANESE POPULAR CULTURE,null,41218,/courses/41218,Today Japanese manga anime J-pop and film have a global audience. But these exports can only be truly understood in light of longstanding domestic anxieties about sex violence gender and the kids these days. More recent concerns about the country's declining birthrate weakening geopolitical position and vulnerability to natural and anthropogenic disaster also deeply influence Japanese media products. This course explores some of these anxieties through critical examinations of manga anime video games television music and fashion in Japan. Film screenings include work by directors Kon Satoshi Otomo Katsuhiro Takahata Isao Miyazaki Hayao; Itami Juzo and Takita Yojiro; manga excerpts include work by Tezuka Osamu Urasawa Naoki and Yazawa Ai. Secondary readings include scholarship in anthropology history sociology literature film studies and religious studies.,[EALC-069],3.24,3.55,1.97,-1.0,2.37,-1.0,-1.0,78
DANTE'S WORKS,null,41613,/courses/41613,Please check the department's website for the course description at: http://www.sas.upenn.edu/italians/graduate/courses,[ITAL-531 -- COML-533],3.33,4.0,1.83,-1.0,1.83,-1.0,-1.0,6
THE ENLIGHTENMENT,null,41464,/courses/41464,Topics vary. For current course description please see the department's webpage: https://www.sas.upenn.edu/french/pc,[FREN-360 -- HIST-211],3.1,3.4,2.4,-1.0,2.9,-1.0,-1.0,11
CONTEMPOR FICT/FILM-JPAN,null,38392,/courses/38392,This course will explore fiction and film in contemporary Japan from 1945 to the present. Topics will include literary and cinematic representation of Japan s war experience and post-war reconstruction negotiation with Japanese classics confrontation with the state and changing ideas of gender and sexuality. We will explore these and other questions by analyzing texts of various genres including film and film scripts novels short stories manga and academic essays. Class sessions will combine lectures discussion audio-visual materials and creative as well as analytical writing exercises. The course is taught in English although Japanese materials will be made available upon request. No prior coursework in Japanese literature culture or film is required or expected; additional secondary materials will be available for students taking the course at the 600 level. Writers and film directors examined may include: Kawabata Yasunari Hayashi Fumiko Abe Kobo Mishima Yukio Oe Kenzaburo Yoshimoto Banana Ozu Yasujiro Naruse Mikio Kurosawa Akira Imamura Shohei Koreeda Hirokazu and Beat Takeshi.,[EALC-151 -- COML-256 -- CINE-151 -- GSWS-257 -- EALC-551],3.36,3.61,2.11,-1.0,2.58,-1.0,-1.0,24
INTERMEDIATE HINDI I,null,37301,/courses/37301,In Intermediate Hindi the student continues to develop the four language skills with an emphasis on real-life situations--through hearing and practicing conversation on everyday topics reading a variety of authentic texts ranging from advertisements to short stories watching segments of current films and carrying out short research projects using Hindi sources. There is a strong emphasis on vocabulary development and on using contextually appropriate styles of spoken and written Hindi.,[HIND-420],3.44,3.78,-1.0,-1.0,1.4,-1.0,-1.0,10
HIST ANCIENT PHILOSOPHY,null,36323,/courses/36323,The Birth of Philosophy: What is philosophy? How does it differ from science religion literature and other modes of human discourse? This course traces the origins of philosophy as a discipline in the Western tradition in the thinkers of Ancient Greece and Rome. We will examine how natural philosophers such as Thales Anaximander and Heraclitus distinguished their inquiries from the teachings of poets such as Homer and Hesiod; how ancient atomism had its origins in a response to Parmenides' challenge to the very assumption that things change in the world; how Socrates reoriented the focus of philosophy away from the natural world and toward the fundamental ethical question how shall I live?; how his pupil Plato and subsequently Aristotle developed elaborate philosophical systems that address the nature of reality knowledge and human happiness. Finally we will examine the ways in which later thinkers such as Epicureans Stoics and the neoPlatonists transformed and extended the earlier tradition.,[PHIL-003 -- CLST-103],2.61,2.89,2.4,-1.0,2.4,-1.0,-1.0,19
CURATORIAL SEMINAR: MAGIC IN THE MUSEUM,null,35328,/courses/35328,Curatorial seminars expose students to the complexity of studying and working with objects in the context of public display. With the guidance of faculty and museum professionals students learn what it means to curate an exhibition create catalogues and gallery text and/or develop programming for exhibitions of art and visual/material culture.,[ARTH-501 -- AAMW-509 -- NELC-501],2.1,2.4,2.0,-1.0,1.75,-1.0,-1.0,10
AMERICAN FICTION,null,38450,/courses/38450,Some versions of this course survey the American novel from its beginnings to the present focusing on the development of the form while others concentrate on the development of American fiction in one or two periods. Readings may include novels by writers such as Brown Cooper Hawthorne Melville Wharton Morrison Twain James Adams Chopin Howells Norris Whitman Dreiser Fitzgerald Hemingway Faulkner Dos Passos Ellison and Nabokov.,[ENGL-089],4.0,4.0,2.5,-1.0,2.67,-1.0,-1.0,6
MASTERS BIOTECH LAB,null,36858,/courses/36858,In this course students will learn biochemical and genetic engineering laboratory skills including molecular cloning techniques cell transformation DNA gel electrophoresis ImageJ PCR DNA sequencing SDS-PAGE Western blot and enzyme assays. Cell culture techniques for bacteria yeast and animal cells will be taught and practiced. The students write several individual lab reports during the semester. A group presentation and report on a proposal for a new lab experiment is the final assignment for the lab.,[CBE-580],2.23,2.38,2.3,2.22,3.2,1.2,2.1,13
AFR HIST BEFORE 1800,null,44308,/courses/44308,Survey of major themes and issues in African history before 1800. Topics include: early civilizations African kingdoms and empires population movements the spread of Islamand the slave trade. Also emphasis on how historians use archaeology linguistics and oral traditions to reconstruct Africa's early history.,[HIST-075 -- AFRC-075],3.04,3.08,2.3,-1.0,2.4,-1.0,-1.0,26
FIRST EMPEROR OF CHINA,null,41229,/courses/41229,This is a seminar required for all Chinese majors in the Department of East Asian Languages and Civilization. Topic varies year to year.,[EALC-301],2.14,2.57,2.17,-1.0,2.33,-1.0,-1.0,7
SOFTWARE DESIGN/ENGINEER,null,42541,/courses/42541,You know how to write a program. But how do you create a software product as part of a team with customers that have expectations of functionality and quality? This course introduces students to various tools (source control automated build systems programming environments test automation etc.) and processes (design implementation testing and maintenance) that are used by professionals in the field of software engineering. Topics will include: software development lifecycle; agile and test-driven development; source control and continuous integration; requirements analysis; object-oriented design and testability; mobile and/or web application development; software testing; refactoring ; and software quality metrics.,[CIS-350],2.46,2.68,1.86,2.33,2.41,1.72,2.83,186
CULTURE OF TECHNOLOGY: Culture and Institutions of the Tech Sector:Bridging Research & Practice,null,40312,/courses/40312,Academics students and practitioners alike are fascinated by the culture of tech sector--its people practices and organization. In this course we explore this sector using a combination of academic research papers and practitioner involvement. Each class session will be devoted to discussion of a single research article during which we will be joined via Telepresence technology by a Wharton alum from the tech sector whose expertise is relevant to the paper topic. Therefore the learning objectives of this half-credit course are to: 1)Understand the managerial organizational and regional institutions that characterize the tech sector with particular emphasis on the case of Silicon Valley 2)Bridge research and practice by critical analysis of academic research in conjunction with practitioner input 3) Forge connections with tech sector practitioners particularly with our west coast alumni base. Registration is by application only; Penn In Touch requests will not be processed. Enrollment is limited. The link to the application form will be available on the Management Department's website: https://mgmt.wharton.upenn.edu/programs/undergraduate beginning March 21 2016 through midnight on April 3 2016.,[MGMT-265],3.57,3.3,1.93,3.13,2.13,3.4,3.53,21
INTRO TO COMPUTATIONAL BIOLOGY & BIOLOGICAL MODELING,null,36838,/courses/36838,Biology is flooded with data that cannot be understood without computational analysis and modeling. Computational Biology is a subfield of natural science where quantitative approaches are used to discover and understand biological and medical phenomena. The goal of this course is to develop a deep understanding of techniques and concepts used in Computational Biology. The course will strive to focus on a small set of approaches to gain both theoretical and practical understanding of the methods. We will aim to cover practical issues such as programming and the use of programs as well as theoretical issues such as algorithm design statistical data analysis theory of algorithms and statistics. Topics to be discussed include theory of computing probability theory multivariate statistics molecular evolution and network models. Grading is primarily based on 3 project reports.,[BIOL-437 -- CIS-536 -- GCB-536],2.76,3.26,3.0,-1.0,2.44,-1.0,-1.0,35
RECITATION: Reciation - WELL WOMAN HEALTH CARE,null,41889,/courses/41889,This course focuses on the management and evaluation of physical emotional socio-cultural and educational needs of gynecologic primary health care of women from adolescence through post-menopausal years. The content is directed at expanding the expertise of the student in in meeting the primary women's health care needs in contemporary society. Social influences that have an impact on women's lives are also explored.,[NURS-686],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2
GO PROGRAMMING,null,42532,/courses/42532,C# is the premier programming language for the .NET framework. Over the last decade the language has evolved to meet the needs of a variety of programming styles while supporting the ever-growing capabilities of the the .NET runtime and libraries. This course provides a thorough introduction to the C# language and the .NET framework building on the skills gained in the introductory programming courses (CIS 110 CIS 120 or ESE 112). In addition to providing the student with a solid background in C# this course also explores topics that the .NET platform exposes such as object oriented design .NET runtime internals and others based on class interest. A series of short weekly homework assignments reinforces the concepts introduced in class and a group-based final project of the students' design allows them to apply their C# knowledge toward a substantial problem.,[CIS-193],3.57,3.5,2.33,3.0,1.33,2.33,3.33,7
BEHAVIORAL ECON & PSYCH,null,39194,/courses/39194,This course will introduce you to the study of choice and will examine in detail what we know about how people make choices and how we can influence these choices. It will utilize insights from psychology and economics and will apply these insights to domains including consumer choice risky decision making and prosocial decision making.,[PPE-203 -- PSYC-265],1.67,1.64,2.48,-1.0,1.89,-1.0,-1.0,154
GREEK & ROMAN MYTHOLOGY,null,35526,/courses/35526,Myths are traditional stories that have endured many years. Some of them have to do with events of great importance such as the founding of a nation. Others tell the stories of great heroes and heroines and their exploits and courage in the face of adversity. Still others are simple tales about otherwise unremarkable people who get into trouble or do some great deed. What are we to make of all these tales and why do people seem to like to hear them? This course will focus on the myths of ancient Greece and Rome as well as a few contemporary American ones as a way of exploring the nature of myth and the function it plays for individuals societies and nations. We will also pay some attention to the way the Greeks and Romans themselves understood their own myths. Are myths subtle codes that contain some universal truth? Are they a window on the deep recesses of a particular culture? Are they entertaining stories that people like to tell over and over? Are they a set of blinders that all of us wear though we do not realize it? Investigate these questions through a variety of topics creation of the universe between gods and mortals religion and family sex love madness and death.,[CLST-100 -- COML-108],2.93,3.32,2.28,-1.0,2.82,-1.0,-1.0,223
ADV NON-FIC WRITING,null,38468,/courses/38468,Writing with a view to publication in the freelance sections of newspapers such as THE PHILADELPHIA INQUIRER and THE NEW YORK TIMES in magazines such as THE ATLANTIC and THE NEW YORKER and in the literary quarterlies and the journals of opinion. Among the areas likely to be considered are writing as a public act issues of taste and of privacy questions of ethics and of policy methods of research and of checking excerpting marketing and the realistic understanding of assignments and of the publishing world. Student papers will be the basis of weekly editorial sessions with concentration on the language: how to render material literate how to recognize and dispose of padding and self-indulgence how to tighten structure and amplify substance.,[ENGL-145 -- URBS-273 -- GSWS-145],3.6,3.8,2.4,-1.0,2.6,-1.0,-1.0,5
LECTURE,null,38267,/courses/38267,A basic laboratory course in which both the theoretical and practical aspects of a variety of organic reactions and multistep syntheses are emphasized. Modern chromatographic instrumental and spectroscopic techniques are applied to experimental organic chemistry. Course should be taken concurrently with CHEM 242 or in the semester immediately following.,[CHEM-245],2.44,2.76,3.43,-1.0,3.9,-1.0,-1.0,91
INTERM IRISH GAELIC II,null,36038,/courses/36038,A continuation of Elementary Irish Gaelic with increasing emphasis on the native idiom and literary forms. Drama texts and poetry will be used to supplement the grammar component and encourage oral proficiency while simultaneously providing an understanding of the challenges faced by contemporary authors writing in Irish.,[LING-084],4.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,2
NETWORK NEUROSCIENCE,null,38178,/courses/38178,The human brain produces complex functions using a range of system components over varying temporal and spatial scales. These components are couples together by heterogeneous interactions forming an intricate information-processing network. In this course we will cover the use of network science in understanding such large-scale and neuronal-level brain circuitry.,[BE-566 -- ESE-566],3.65,3.8,2.78,3.78,3.11,2.41,3.59,21
AFRICA SINCE 1800,null,40112,/courses/40112,Survey of major themes events and personalities in African history from the early nineteenth century through the 1960s. Topics include abolition of the slave trade European imperialism impact of colonial rule African resistance religious and cultural movements rise of naturalism and pan-Africanism issues of ethnicity and tribalism in modern Africa.,[HIST-076 -- AFRC-076 -- AFST-076],3.08,3.08,2.11,-1.0,2.49,-1.0,-1.0,75
